Entidad,Codificacion,TipoValor,EntSec,Monto,FechaEmision,FechaVenc,Nodo,Estado,Transmision,TipoOperacion,Item,Troquel/Reg.Med ,Drog.Present,Fabricante,Rubro,Cantidad,Precio Unitario,Imp.Bonif,Bonif,Descuento,Importe Cobertura,Importe Afiliado
,,,,,,,,,,,REXONA CLIN DEO AER CLAX 55ML,7791293038254,null,UNILEVER P.C.,PER.MASIVA,3,"1.840,90","0,00","0,00","0,00","5.522,70","0,00"
,,,,,,,,,,,VITAMINA.C  1G SOB X 15,7790839000458,VIT.C 1000 MG ,ISA,NUTRICION/,1,"4.346,52","0,00","0,00","0,00","4.346,52","0,00"
,,,,,,,,,,,VOGUE ESM  EF.GEL SECRETO,7702433330749,null,VOGUE ,PER.MASIVA,2,"3.813,31","0,00","0,00","0,00","7.626,62","0,00"
,,,,,,,,,,,VOGUE LAB  LIQ COL AMARANTO,7702433328531,null,VOGUE ,PER.MASIVA,2,"6.546,78","0,00","0,00","0,00","13.093,56","0,00"
,0018-01282419,FACTURA DE COMPRA POS,,"$ 30.814,71",23/12/2025,23/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,D GUANTES CIR 8 PAR ,1111,null,ALFATRADE SA,ACC.,68,"0,00","0,00","0,00","0,00","0,00","0,00"
,0018-01283468,FACTURA DE COMPRA POS,,"$ 1.637.853,59",23/12/2025,23/01/2026,BIOSALUD CHACRAS ,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,AUDIPAX M/DOSIS 24MG COMP X30,7795338019802,BETAHISTINA 24 MG ,BALIARDA,ESP. ,5,"18.598,76","0,00","0,00","0,00","92.993,80","0,00"
,,,,,,,,,,,BIATRIX  25 MG COMP X 30,7795338015903,QUETIAPINA  25 MG ,BALIARDA,ESP. ,3,"35.171,15","0,00","0,00","0,00","105.513,45","0,00"
,,,,,,,,,,,BIATRIX 100 MG COMP X 30,7795338015910,QUETIAPINA 100 MG ,BALIARDA,ESP. ,4,"59.822,09","0,00","0,00","0,00","239.288,36","0,00"
,,,,,,,,,,,BIATRIX XR  50 MG COMP X 30,7795338016788,QUETIAPINA  50 MG ,BALIARDA,ESP. ,2,"73.437,53","0,00","0,00","0,00","146.875,06","0,00"
,,,,,,,,,,,CLONAGIN 1   MG COMP X 30,7795338013572,CLONAZEPAM  1    ,BALIARDA,ESP. ,3,"9.367,86","0,00","0,00","0,00","28.103,58","0,00"
,,,,,,,,,,,CLONAGIN 2   MG COMP X 30,7795338001432,CLONAZEPAM  2    ,BALIARDA,ESP. ,10,"9.727,63","0,00","0,00","0,00","97.276,30","0,00"
,,,,,,,,,,,CLONAGIN 2   MG COMP X 60,7795338001456,CLONAZEPAM  2    ,BALIARDA,ESP. ,5,"13.477,12","0,00","0,00","0,00","67.385,60","0,00"
,,,,,,,,,,,CLONAGIN GTS X 20 ML,7795338014111,CLONAZEPAM  2.5  ,BALIARDA,ESP. ,6,"9.128,71","0,00","0,00","0,00","54.772,26","0,00"
,,,,,,,,,,,CLONAGIN SL 0.25 MG COMP X 15,7795338014234,CLONAZEPAM  0.25 ,BALIARDA,ESP. ,3,"3.262,86","0,00","0,00","0,00","9.788,58","0,00"
,,,,,,,,,,,DOLOCOX  90 MG COMP REC X 30,7795338003313,ETORICOXIB  90 MG ,BALIARDA,ESP. ,3,"29.116,88","0,00","0,00","0,00","87.350,64","0,00"
,,,,,,,,,,,INSERTEC  50 MG COMP X 30,7795338013756,SERTRALINA  50 MG ,BALIARDA,ESP. ,4,"19.138,74","0,00","0,00","0,00","76.554,96","0,00"
,,,,,,,,,,,INSERTEC 100 MG COMP X 30,7795338014302,SERTRALINA 100 MG ,BALIARDA,ESP. ,6,"33.483,82","0,00","0,00","0,00","200.902,92","0,00"
,,,,,,,,,,,MEPLAR 20 MG COMP X 30,7795338013992,PAROXETINA 20   MG     ,BALIARDA,ESP. ,3,"37.405,74","0,00","0,00","0,00","112.217,22","0,00"
,,,,,,,,,,,NEUROPLUS 20MG COMP REC X 30,7795338016429,MEMANTINE 20 MG     ,BALIARDA,ESP. ,3,"31.293,03","0,00","0,00","0,00","93.879,09","0,00"
,,,,,,,,,,,PANTUS 40 40MG COMP REC GAX30,7795338013428,PANTOPRAZOL 40 MG ,BALIARDA,ESP. ,15,"14.951,14","0,00","0,00","0,00","224.267,10","0,00"
,,,,,,,,,,,XEDENOL  75 MG COMP X 30,7795338013527,"DICLOFENAC, SODICO  ",BALIARDA,ESP. ,4,"23.862,52","0,00","0,00","0,00","95.450,08","0,00"
,,,,,,,,,,,XEDENOL GESIC COMP REC X 20,7795338014401,DICLOFENAC ,BALIARDA,ESP. ,1,"11.530,71","0,00","0,00","0,00","11.530,71","0,00"
,0018-01284422,FACTURA DE COMPRA POS,,"$ 21.854,89",23/12/2025,23/01/2026,BIOSALUD CHACRAS ,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,BIOGAIA GTS X 5 ML,7350012555061,LACTOBACILOS GTS ,ETHICAL ,NUTRICION/,1,"18.391,65","0,00","0,00","0,00","18.391,65","0,00"
,0018-01285294,FACTURA DE COMPRA POS,,"$ 30.593,17",23/12/2025,23/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,COMODIN ANAT ADUL GDE     X16,7791229003073,null,HISAN S.A.,PAÑALES,3,"8.160,23","0,00","0,00","0,00","24.480,69","0,00"
,0018-01284787,FACTURA DE COMPRA POS,,"$ 0,01",23/12/2025,23/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,ELAFAX XR  75   COMP X 28,7792183487411,VENLAFAXINA  75   ,GADOR,ESP. ,1,"17.990,37","0,00","0,00","0,00","17.990,37","0,00"
,0018-01286860,FACTURA DE COMPRA POS,,"$ 167.917,62",24/12/2025,24/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,,,,,,,,,,,,
,,,,,,,,,,FTW-02-DESHACER ,,,,,,,,,,,,
,,,,,,,,,,FTW-01-EDITAR VALORES,CAPILATIS SH LIM-PROF NEUX420,7792640004557,null,CAPILATIS,PER.MASIVA,2,"4.618,92","0,00","0,00","0,00","9.237,84","0,00"
,,,,,,,,,,,COLGATE CR KIDS SMILES X75+6A,7509546066776,null,COLGATE,DENTALES,2,"2.387,92","0,00","0,00","0,00","4.775,84","0,00"
,,,,,,,,,,,COLGATE DENT ORIGINAL  X180GR,7891024134610,null,COLGATE,DENTALES,2,"3.287,00","0,00","0,00","0,00","6.574,00","0,00"
,,,,,,,,,,,COLGATE DENT ULTRA BLA X 90GR,7793100111891,null,COLGATE,DENTALES,2,"1.714,52","0,00","0,00","0,00","3.429,04","0,00"
,,,,,,,,,,,CURITAS APOS TRANSPIEL   X10U,7702003010774,null,BEIERSDORF,ACC.MASIVOS,11,"629,58","0,00","0,00","0,00","6.925,38","0,00"
,,,,,,,,,,,DOVE MEN AER AP INV DRY  X150,7791293048031,null,UNILEVER P.C.,PER.MASIVA,3,"2.611,85","0,00","0,00","0,00","7.835,55","0,00"
,,,,,,,,,,,EMPECID  SPRAY X 60 ML,7793640216056,CLOTRIMAZOL   1 G% ,BAYER ,ESP. ,1,"11.295,38","0,00","0,00","0,00","11.295,38","0,00"
,,,,,,,,,,,EUCERIN SOL 50 T/SECO GELX 50,4005900140906,null,EUCERIN,PER.LINEAS,1,"30.633,59","0,00","0,00","0,00","30.633,59","0,00"
,,,,,,,,,,,PLAC OUT MANTENIMIENTO X500ML,7792175010054,CLORHEXIDINA+ASOC,BERNABO (LAB),DENTALES,2,"10.554,82","0,00","0,00","0,00","21.109,64","0,00"
,,,,,,,,,,,REXONA DEO ROL V8      X 50ML,78944800,null,UNILEVER P.C.,PER.MASIVA,3,"1.405,42","0,00","0,00","0,00","4.216,26","0,00"
,,,,,,,,,,,REXONA STICK AP V8     X 50GR,75024956,null,UNILEVER P.C.,PER.MASIVA,2,"2.844,60","0,00","0,00","0,00","5.689,20","0,00"
,,,,,,,,,,,VALCA CR REGENERADORA X130GR,0720665942704,VIT.A+ASOC. ,VALCA ,PER.MASIVA,1,"19.655,60","0,00","0,00","0,00","19.655,60","0,00"
,0018-01286965,FACTURA DE COMPRA POS,,"$ 256.680,34",24/12/2025,24/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,CERAVE GEL LIMP ESPUMOSO X236,3337875597197,null,CERAVE ,PER.LINEAS,1,"22.384,16","0,00","0,00","0,00","22.384,16","0,00"
,,,,,,,,,,,CERAVE LOC HIDRAT/ROSTRO X52,3337875597449,null,CERAVE ,PER.LINEAS,1,"25.192,62","0,00","0,00","0,00","25.192,62","0,00"
,,,,,,,,,,,CERAVE LOC HIDR/ROST FPS30X52,3337875840620,null,CERAVE ,PER.LINEAS,1,"25.192,62","0,00","0,00","0,00","25.192,62","0,00"
,,,,,,,,,,,COLGATE DENT ORIGINAL  X 90GR,7891024134702,null,COLGATE,DENTALES,2,"1.789,16","0,00","0,00","0,00","3.578,32","0,00"
,,,,,,,,,,,COLORAMA ESM VIA LACTEA,7899026405004,null,MAYBELLINE ,PER.MASIVA,3,"2.563,37","0,00","0,00","0,00","7.690,11","0,00"
,,,,,,,,,,,DURACELL AA  ALCALINA BLISX2U,41333001005,null,DURACELL ARG,VARIOS,8,"2.472,45","0,00","0,00","0,00","19.779,60","0,00"
,,,,,,,,,,,EUCERIN DERMOPUR FLUI MATX 50,4005900436962,null,EUCERIN,PER.LINEAS,1,"35.705,30","0,00","0,00","0,00","35.705,30","0,00"
,,,,,,,,,,,GUM CEP  411 CLASSIC SUAVE,070942004114,null,SUNSTAR ,DENTALES,3,"2.898,82","0,00","0,00","0,00","8.696,46","0,00"
,,,,,,,,,,,HIPOALERGIC FLEX B/I 5X4.5BEI,7798026340769,null,RIASA SRL,ORTOPEDIA Y ,2,"2.418,34","0,00","0,00","0,00","4.836,68","0,00"
,,,,,,,,,,,IDI ESM HIPOALERG          22,7798164251194,null,QUAZON SA,PER.MASIVA,2,"2.394,24","0,00","0,00","0,00","4.788,48","0,00"
,,,,,,,,,,,NEOBITIOL ROLL ON   X  60 ML,7794428012372,NEOMICINA+ASOC. ,FORTBENTON,ESP. ,1,"10.743,25","0,00","0,00","0,00","10.743,25","0,00"
,,,,,,,,,,,REXONA MEN AER AP V8    X148G,7791293049595,null,UNILEVER P.C.,PER.MASIVA,3,"2.852,24","0,00","0,00","0,00","8.556,72","0,00"
,,,,,,,,,,,VEGANIS LECHE HUM COFF/BEX500,7798216220062,null,GULL WING S.,PER.MASIVA,2,"5.528,14","0,00","0,00","0,00","11.056,28","0,00"
,,,,,,,,,,,VITAMINA.C  1G SOB X 15,7790839000458,VIT.C 1000 MG ,ISA,NUTRICION/,1,"4.346,52","0,00","0,00","0,00","4.346,52","0,00"
,,,,,,,,,,,VOGUE ESM  FANTASTIC      06,7702433289788,null,VOGUE ,PER.MASIVA,1,"2.727,28","0,00","0,00","0,00","2.727,28","0,00"
,,,,,,,,,,,VOGUE OJOS DELIN GEL RESIS 9G,7509552842876,null,VOGUE ,PER.MASIVA,1,"5.455,68","0,00","0,00","0,00","5.455,68","0,00"
,0018-01287876,FACTURA DE COMPRA POS,,"$ 2.879.244,09",24/12/2025,24/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,BALTIC 10 MG COMP X 60,7791909116406,BACLOFENO 10 MG ,CASASCO,ESP. ,19,"18.959,28","0,00","0,00","0,00","360.226,32","0,00"
,,,,,,,,,,,BLOKIUM B12    COMP X 30,7791909319036,DICLOFENAC+VIT.,CASASCO,ESP. ,4,"27.336,83","0,00","0,00","0,00","109.347,32","0,00"
,,,,,,,,,,,BLOKIUM SPRAY AERO X125ML,7791909321701,"DICLOFENAC, ",CASASCO,ESP. ,4,"20.226,96","0,00","0,00","0,00","80.907,84","0,00"
,,,,,,,,,,,ELIFER 600 MG COMP X 30,7791909336545,GABAPENTIN 600 MG ,CASASCO,ESP. ,6,"35.678,45","0,00","0,00","0,00","214.070,70","0,00"
,,,,,,,,,,,ENOLEX  5 MG COMP X 28,7791909185716,OLANZAPINA  5   MG ,CASASCO,ESP. ,2,"59.522,22","0,00","0,00","0,00","119.044,44","0,00"
,,,,,,,,,,,ENOLEX 10 MG COMP X 28,7791909185778,OLANZAPINA 10   MG ,CASASCO,ESP. ,3,"116.540,13","0,00","0,00","0,00","349.620,39","0,00"
,,,,,,,,,,,MILCANOR  500 MG COMP X 60,7791909307958,DIOSMINA+HESPERIDI,CASASCO,ESP. ,4,"37.214,11","0,00","0,00","0,00","148.856,44","0,00"
,,,,,,,,,,,MILCANOR 1000 MG COMP X 30,7791909307972,DIOSMINA+HESPERIDI,CASASCO,ESP. ,1,"36.035,14","0,00","0,00","0,00","36.035,14","0,00"
,,,,,,,,,,,NEURISTAN  75 MG CAPS X 30,7791909221728,PREGABALINA  75 MG ,CASASCO,ESP. ,11,"26.116,74","0,00","0,00","0,00","287.284,14","0,00"
,,,,,,,,,,,NEURISTAN 150 MG CAPS X 30,7791909221803,PREGABALINA 150 ,CASASCO,ESP. ,17,"39.625,04","0,00","0,00","0,00","673.625,68","0,00"
,,,,,,,,,,,NEURISTAN MD  75 MG COMP X 30,7791909221919,PREGABALINA  75 MG ,CASASCO,ESP. ,3,"27.858,11","0,00","0,00","0,00","83.574,33","0,00"
,,,,,,,,,,,SOLIFEN  5 MG COMP X 30,7791909196217,SOLIFENACINA  5 MG ,CASASCO,ESP. ,5,"38.829,34","0,00","0,00","0,00","194.146,70","0,00"
,,,,,,,,,,,SOLIFEN 10 MG COMP X 30,7791909196323,SOLIFENACINA 10 MG ,CASASCO,ESP. ,6,"42.632,32","0,00","0,00","0,00","255.793,92","0,00"
,,,,,,,,,,,VALCAS 500 MG COMP X 50,7791909438508,SODIO DIVALPROATO ,CASASCO,ESP. ,3,"44.611,44","0,00","0,00","0,00","133.834,32","0,00"
,0018-01286966,FACTURA DE COMPRA POS,,"$ 107.355,71",24/12/2025,24/01/2026,BIOSALUD CHACRAS ,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,AVENO FAC.PIEL SEC/SEN CRX50G,7793742005541,AVENA+ASOC. ,ANDROMACO,ESP.,1,"19.155,53","0,00","0,00","0,00","19.155,53","0,00"
,,,,,,,,,,,AVENO PIEL NORM/SENS GELX 50G,7793742005534,AVENA+ASOC. ,ANDROMACO,ESP.,1,"19.152,74","0,00","0,00","0,00","19.152,74","0,00"
,,,,,,,,,,,DERMAGLOS F SERUM AUTOBR X 25,7793742007156,VIT.C SOL/LOC  15 ,ANDROMACO,ESP.,2,"18.924,56","0,00","0,00","0,00","37.849,12","0,00"
,,,,,,,,,,,DERMAGLOS F SERUM VIT C  X 25,7793742107108,VIT.C SOL/LOC  25 ,ANDROMACO,ESP.,1,"19.280,57","0,00","0,00","0,00","19.280,57","0,00"
,0018-01286744,FACTURA DE COMPRA POS,,"$ 66.614,43",24/12/2025,24/01/2026,BIOSALUD CHACRAS ,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,DERMAGLOS F HID F12 PN EMX 75,7793742007903,VIT.A+E 100000/2   ,ANDROMACO,ESP.,4,"14.738,81","0,00","0,00","0,00","58.955,24","0,00"
,0018-01286720,FACTURA DE COMPRA POS,,"$ 4.385,35",24/12/2025,24/01/2026,BIOSALUD CHACRAS ,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,ESTRELLA ALGODON       X140GR,7790064000124,null,QUIMICA ,PER.MASIVA,3,"1.406,62","0,00","0,00","0,00","4.219,86","0,00"
,0018-01286719,FACTURA DE COMPRA POS,,"$ 102.564,59",24/12/2025,24/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,DOVE DEO AER AP PEPIN VX150ML,7791293048475,null,UNILEVER P.C.,PER.MASIVA,2,"2.611,87","0,00","0,00","0,00","5.223,74","0,00"
,,,,,,,,,,,EUCERIN SUN HIDRO FL50  X50ML,4005900994776,null,EUCERIN,PER.LINEAS,1,"31.017,48","0,00","0,00","0,00","31.017,48","0,00"
,,,,,,,,,,,GUM CEP  211 CLASSIC SUAVE,070942002110,null,SUNSTAR ,DENTALES,3,"2.898,82","0,00","0,00","0,00","8.696,46","0,00"
,,,,,,,,,,,JOHNSON.BABY COTONETES FLX150,7891010032937,null,JOHNSON&JOH,PER.MASIVA,6,"3.288,27","0,00","0,00","0,00","19.729,62","0,00"
,,,,,,,,,,,PAMPERS TOHU HIG COMPLETA X48,7500435172714,null,PROC & GAMB ,PER.MASIVA,3,"4.496,56","0,00","0,00","0,00","13.489,68","0,00"
,0018-01288671,FACTURA DE COMPRA POS,,"$ 76.115,83",26/12/2025,26/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,DOLOCOX CB 120MG CAPS BLA X10,7795338002200,ETORICOXIB 120 MG ,BALIARDA,ESP. ,3,"13.692,08","0,00","0,00","0,00","41.076,24","0,00"
,,,,,,,,,,,NULIPAR LP 0.375MG COMP X 10,7795338011738,PRAMIPEXOL 0.375 ,BALIARDA,ESP. ,3,"11.490,99","0,00","0,00","0,00","34.472,97","0,00"
,0018-01289570,FACTURA DE COMPRA POS,,"$ 21.791,95",26/12/2025,26/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,ALIDIAL COMP X 10,7798129416446,CETIRIZINA 10 MG ,SIEGFRIED,ESP. ,1,"6.093,75","0,00","0,00","0,00","6.093,75","0,00"
,,,,,,,,,,,MACROMAX 500 MG COMP X  3,7795380042308,AZITROMICINA 500 ,SIEGFRIED,ESP. ,1,"10.818,73","0,00","0,00","0,00","10.818,73","0,00"
,,,,,,,,,,,TAFIROL PLUS FORTE CAPS BLX 8,7798420160642,DICLOFENAC ,GENOMMA ,ESP. ,1,"5.220,00","0,00","0,00","0,00","5.220,00","0,00"
,0018-01289447,FACTURA DE COMPRA POS,,"$ 54.172,84",26/12/2025,26/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,DEXAMERAL  4 MG COMP X 20,7791763002013,DEXAMETASONA   4   ,MEGALABS ,ESP. ,1,"15.196,16","0,00","0,00","0,00","15.196,16","0,00"
,,,,,,,,,,,FRENALER 5 MG COMP X  7,7795345012315,DESLORATADINA 5 ,ROEMMERS,ESP. ,1,"4.679,90","0,00","0,00","0,00","4.679,90","0,00"
,,,,,,,,,,,TANSILOPROST 0.4MG CAPS X 30,7791171101315,TAMSULOSINA 0.4 ,FINADIET,ESP. ,1,"37.049,55","0,00","0,00","0,00","37.049,55","0,00"
,0018-01289446,FACTURA DE COMPRA POS,,"$ 910.100,02",26/12/2025,26/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,ACEMUK 600 MG TAB EFER X 20,7798129415050,ACETILCISTEINA 600 ,SIEGFRIED,ESP. ,1,"16.670,66","0,00","0,00","0,00","16.670,66","0,00"
,,,,,,,,,,,ACTRON 600 RA CAPS X 10,7793640215523,IBUPROFENO 600 MG ,BAYER ,ESP. ,2,"6.088,62","0,00","0,00","0,00","12.177,24","0,00"
,,,,,,,,,,,AMIXEN DUO   COMP X 14,7792175008211,AMOXICILINA  875 MG    ,BERNABO (LAB),ESP. ,2,"9.062,47","0,00","0,00","0,00","18.124,94","0,00"
,,,,,,,,,,,APASMO GTS X 20 ML,7791984001291,CAMILOFINA+DIPIRON,MILLET (LAB),ESP. ,2,"7.970,27","0,00","0,00","0,00","15.940,54","0,00"
,,,,,,,,,,,APATRIX 30 MG CAPS X 30,7798084687042,DEXLANSOPRAZOL 30 ,ADIUM,ESP. ,4,"26.392,13","0,00","0,00","0,00","105.568,52","0,00"
,,,,,,,,,,,APATRIX 60 MG CAPS X 30,7798084687059,DEXLANSOPRAZOL 60 ,ADIUM,ESP. ,1,"37.546,58","0,00","0,00","0,00","37.546,58","0,00"
,,,,,,,,,,,ASPIRINETAS COMP X  98,7793640217985,ACETILSALICILICO ,BAYER ,ESP. ,2,"4.153,03","0,00","0,00","0,00","8.306,06","0,00"
,,,,,,,,,,,ATLANSIL COMP X 20,7795345004952,AMIODARONA 200 MG ,ROEMMERS,ESP. ,1,"10.228,42","0,00","0,00","0,00","10.228,42","0,00"
,,,,,,,,,,,AUDIPAX M/DOSIS 24MG COMP X60,7795338011301,BETAHISTINA 24 MG ,BALIARDA,ESP. ,1,"33.936,87","0,00","0,00","0,00","33.936,87","0,00"
,,,,,,,,,,,BETACORT PLUS CR DERM X 20G,7795373013506,BETAMETASONA+GEN,MEDISOL,ESP. ,3,"5.428,80","0,00","0,00","0,00","16.286,40","0,00"
,,,,,,,,,,,BIDEON SOL X 10 ML,7798006300066,NAFAZOLINA+ASOC. ,FECOFAR,ESP. ,2,"5.308,33","0,00","0,00","0,00","10.616,66","0,00"
,,,,,,,,,,,BLAVIN  5 MG COMP X 30,7795338001142,TERAZOSINA  5 MG ,BALIARDA,ESP. ,1,"20.207,52","0,00","0,00","0,00","20.207,52","0,00"
,,,,,,,,,,,BUSCAPINA DUO  COMP X 20,3664798065190,HIOSC N-,OPELLA ,ESP. ,1,"11.344,79","0,00","0,00","0,00","11.344,79","0,00"
,,,,,,,,,,,BUSCAPINA PERLAS CAPS X 10,7798389330063,HIOSC N-BUTILBR 10 ,OPELLA ,ESP. ,1,"4.028,54","0,00","0,00","0,00","4.028,54","0,00"
,,,,,,,,,,,CALADRYL   CR  X  70 G,7796285274092,CALAMINA+DIFENHID,ELEA,ESP. ,1,"8.984,88","0,00","0,00","0,00","8.984,88","0,00"
,,,,,,,,,,,CORTEROID  0.6 MG COMP X 30,7795378001638,BETAMETASONA   0.6 ,MONTPELLIER,ESP. ,1,"6.654,56","0,00","0,00","0,00","6.654,56","0,00"
,,,,,,,,,,,CURITAS APOS TRANSPIEL   X10U,7702003010774,null,BEIERSDORF,ACC.MASIVOS,10,"629,58","0,00","0,00","0,00","6.295,80","0,00"
,,,,,,,,,,,DICLOGESIC GEL POMO  X 50 G,7795371458675,"DICLOFENAC, ",TRB-PHARMA,ESP. ,1,"6.612,00","0,00","0,00","0,00","6.612,00","0,00"
,,,,,,,,,,,DIOXAFLEX CB PLUS  CAPS X 15,7790375253165,DICLOFENAC+PRIDIN,BAGO,ESP. ,1,"14.154,55","0,00","0,00","0,00","14.154,55","0,00"
,,,,,,,,,,,DOLTEN 20 MG COMP X 20,7791824111715,KETOROLAC 20 MG ,PFIZER,ESP. ,1,"18.812,85","0,00","0,00","0,00","18.812,85","0,00"
,,,,,,,,,,,EUTHYROX  75 MCG COMP X 50,7796285271022,LEVOTIROXINA  75 ,ELEA,ESP. ,1,"17.321,43","0,00","0,00","0,00","17.321,43","0,00"
,,,,,,,,,,,GADOCOR 10 MG COMP X 30,7792183002461,NEBIVOLOL 10   MG ,GADOR,ESP. ,1,"23.487,29","0,00","0,00","0,00","23.487,29","0,00"
,,,,,,,,,,,GASTROMAX 40 MG COMP X 30,7792183001822,PANTOPRAZOL 40 MG ,GADOR,ESP. ,1,"13.786,27","0,00","0,00","0,00","13.786,27","0,00"
,,,,,,,,,,,GLUCOPHAGE XR  500MG LP X 30,7796285270896,METFORMINA  500 ,ELEA,ESP. ,1,"14.764,60","0,00","0,00","0,00","14.764,60","0,00"
,,,,,,,,,,,HEPATALGINA GTS X  45 ML,7796285286903,CYNARA+BOLDO+ASO,ELEA,ESP. ,1,"4.913,78","0,00","0,00","0,00","4.913,78","0,00"
,,,,,,,,,,,ISIS      COMP X 28,7798129415227,DROSPIRENONA+ETIN,SIEGFRIED,ESP. ,1,"19.361,72","0,00","0,00","0,00","19.361,72","0,00"
,,,,,,,,,,,LEVOTIROXINA GSK 100MCG CMX50,7798365531101,LEVOTIROXINA 100 ,GLAXOSMITHKLI,ESP. ,2,"18.671,51","0,00","0,00","0,00","37.343,02","0,00"
,,,,,,,,,,,LINPREL MULTIDOSIS 75 COMPX30,7795338011516,PREGABALINA  75 MG ,BALIARDA,ESP. ,2,"25.371,04","0,00","0,00","0,00","50.742,08","0,00"
,,,,,,,,,,,LOTRIAL  10   MG COMP X 60,7795345012797,ENALAPRIL MALEATO ,ROEMMERS,ESP. ,1,"12.544,70","0,00","0,00","0,00","12.544,70","0,00"
,,,,,,,,,,,METAFLEX GESIC FORTE COMP X20,7795378003823,DICLOFENAC ,MONTPELLIER,ESP. ,1,"12.583,02","0,00","0,00","0,00","12.583,02","0,00"
,,,,,,,,,,,NABRATIN 75 MG COMP X 30,7798084682436,CLOPIDOGREL  75 MG ,ADIUM,ESP. ,1,"44.046,63","0,00","0,00","0,00","44.046,63","0,00"
,,,,,,,,,,,NEUMOTEROL 200 CAPS X120+APLI,7791848281029,BUDESONIDE+FORMO,ELEA,ESP. ,1,"72.515,41","0,00","0,00","0,00","72.515,41","0,00"
,,,,,,,,,,,NOVALGINA   COMP X   10,7798389330124,DIPIRONA 500 MG ,OPELLA ,ESP. ,2,"6.127,07","0,00","0,00","0,00","12.254,14","0,00"
,,,,,,,,,,,OLDREN 25 MG COMP REC X 30,7795345120737,EPLERENONA 25 MG ,ROEMMERS,ESP. ,1,"22.869,17","0,00","0,00","0,00","22.869,17","0,00"
,,,,,,,,,,,OSTELIN ACD SOL X 20 ML,7795345013671,VIT.A+C+D GTS 20 ML,ROEMMERS,ESP. ,1,"8.070,12","0,00","0,00","0,00","8.070,12","0,00"
,,,,,,,,,,,OXA B12 COMP X 15,7795328053410,DICLOFENAC+VIT.,BETA,ESP. ,1,"14.704,69","0,00","0,00","0,00","14.704,69","0,00"
,,,,,,,,,,,PALATROBIL GTS X  45 ML,7795334000422,CYNARA+BOLDO+ASO,MONSERRAT,ESP. ,1,"4.868,52","0,00","0,00","0,00","4.868,52","0,00"
,,,,,,,,,,,PERVINOX INCOL SPRAY X  40 ML,7791848055262,CLORHEXIDINA ,ELEA,ESP. ,1,"8.494,18","0,00","0,00","0,00","8.494,18","0,00"
,,,,,,,,,,,REFENAX NASAL GTS AD X 25,7795334271891,NAFAZOLINA+ASOC. ,MONSERRAT,ESP. ,3,"4.002,00","0,00","0,00","0,00","12.006,00","0,00"
,,,,,,,,,,,RELIVERAN GTS AD X 20 ML,7792183002362,METOCLOPRAMIDA  5 ,GADOR,ESP. ,1,"6.864,21","0,00","0,00","0,00","6.864,21","0,00"
,,,,,,,,,,,REOVEX 10 MG COMP     X 30,7795338016382,ROSUVASTATINA 10 ,BALIARDA,ESP. ,1,"15.440,48","0,00","0,00","0,00","15.440,48","0,00"
,,,,,,,,,,,SERETIDE HFA AER 25/250 X120D,7796930007686,FLUTICASONA+SALME,GLAXOSMITHKLI,ESP. ,1,"82.708,98","0,00","0,00","0,00","82.708,98","0,00"
,,,,,,,,,,,SINLIP 10 MG COMP X 30,7792183487527,ROSUVASTATINA 10 ,GADOR,ESP. ,1,"15.684,50","0,00","0,00","0,00","15.684,50","0,00"
